id,author_id,content,category,vote_count,suitable_count,achieved_count,current_weight,is_indexed,is_achieved,dominant_unsuitable_reason,created_at,status
2,,Can it recall conversations from over a week ago and proactively reference them in the current context?,linguistic,2,2,1,0,false,true,,2025-11-22 14:40:33.70801+00,approved
3,,"Can it seamlessly maintain conversational context across different platforms (e.g., switching from Slack to a messaging app)?",linguistic,1,1,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
4,,Can it self-correct when its current statement contradicts something it said days ago?,linguistic,1,1,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
5,,"Can it accurately distinguish between sarcasm, jokes, and serious advice based on nuance?",linguistic,1,1,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
6,,"Can it correctly infer the meaning of ambiguous pronouns like ""that thing"" based on past context?",linguistic,2,2,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
7,,Can it adjust its vocabulary and explanation style based on the listener's age or expertise level?,linguistic,1,1,1,0,false,true,,2025-11-22 14:40:33.70801+00,approved
8,,Can it grasp the underlying intent of a speaker who is rambling or hiding their true meaning?,linguistic,1,1,1,0,false,true,,2025-11-22 14:40:33.70801+00,approved
9,,Can it automatically return to the main business topic after a brief digression into small talk?,linguistic,2,2,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
10,,"Can it organize messy, unstructured notes into a structured format (like a spreadsheet) exactly as intended?",linguistic,1,1,0,0,true,false,,2025-11-22 14:40:33.70801+00,approved
11,,Can it detect malicious intent or gaslighting and maintain its stance without being swayed?,linguistic,1,1,1,0,true,true,,2025-11-22 14:40:33.70801+00,approved
12,,"Can it identify whether a speaker is a family member, friend, or stranger solely by voice tone and intonation?",multimodal,1,1,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
13,,"Can it discern true emotion when visual cues (e.g., smiling face) contradict audio cues (e.g., trembling voice)?",multimodal,1,1,0,0,true,false,,2025-11-22 14:40:33.70801+00,approved
14,,Can it navigate to a restroom or emergency exit in an unfamiliar building using maps or visual cues?,multimodal,2,2,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
15,,Can it explain complex spatial concepts by drawing a diagram or map in real-time?,multimodal,1,1,0,0,true,false,,2025-11-22 14:40:33.70801+00,approved
16,,"Can it learn how to use a new tool (e.g., chopsticks) simply by watching a video demonstration?",multimodal,1,1,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
17,,Can it analyze dashcam footage to determine the cause of an accident and assign fault based on context?,multimodal,1,1,1,0,true,true,,2025-11-22 14:40:33.70801+00,approved
18,,"Can it retrieve a specific file based on abstract descriptions like ""that video where we laughed at the beach two years ago""?",multimodal,0,0,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
19,,"Can it distinguish between a friendly greeting and a hostile threat based on body language (e.g., a running dog)?",multimodal,1,1,0,0,true,false,,2025-11-22 14:40:33.70801+00,approved
20,,"Can it autonomously identify tasks that need doing (e.g., cleaning a messy room) without explicit commands?",multimodal,0,0,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
21,,Can it identify different fabrics/shapes of laundry and fold them using appropriate methods?,multimodal,1,1,0,0,false,false,,2025-11-22 14:40:33.70801+00,approved
